"filename","title","address","website"
"2021-03-06-coffee-on-the-terrace.md","Coffee On The Terrace","",""
"2021-03-15-long-black-cafe.md","Long Black Cafe","",""
"2021-03-19-yatai-japanese-izakaya-restaurant.md","Yatai Japanese Izakaya Restaurant","",""
"2021-03-20-focal-point-cinema-cafe.md","Focal Point Cinema & Cafe","",""
"2021-03-26-tasty-restaurant.md","Tasty Restaurant","",""
"2021-04-05-burgerfuel.md","Burgerfuel","",""
"2021-04-05-counter-culture.md","Counter Culture","",""
"2021-04-05-thai-chef-s-restaurant.md","Thai Chef's Restaurant","",""
"2021-04-09-noodles-dumplings.md","Noodles & Dumplings","",""
"2021-04-10-wendy-s-hamburgers.md","Wendy's Hamburgers","",""
"2021-04-16-cheltenham-hotel.md","Cheltenham Hotel","",""
"2021-04-17-gold-kebabs.md","Gold Kebabs","",""
"2021-04-23-indian-love-story.md","Indian Love Story","",""
"2021-04-24-red-lantern.md","Red Lantern","",""
"2021-04-30-bangkok-thai.md","Bangkok Thai","",""
"2021-05-02-shamiana.md","Shamiana","",""
"2021-05-03-essence-cafe-bar.md","Essence Cafe & Bar","",""
"2021-05-07-viva-cafe-bar.md","Viva Cafe & Bar","",""
"2021-05-08-columbus-cafe.md","Columbus Cafe","",""
"2021-05-14-gengy-s-mongolian-bbq-buffet.md","Gengy's Mongolian BBQ Buffet","",""
"2021-05-15-the-bees-knees-cafe.md","The Bees Knees Cafe","",""
"2021-05-21-indian2nite.md","Indian2nite","",""
"2021-05-22-cafe-116.md","Cafe 116","",""
"2021-05-28-angkor.md","Angkor","",""
"2021-05-29-kabbaba.md","Kabbaba","",""
"2021-06-01-rosie-o-grady-s.md","Rosie O'Grady's Irish Pub","",""
"2021-06-06-bing-house.md","Bing House","",""
"2021-06-11-jimmy-cook-s-kiwi-kitchen.md","Jimmy Cook's Kiwi Kitchen","",""
"2021-06-12-cyclista.md","Cyclista","",""
"2021-06-18-lina-s.md","Lina's","",""
"2021-06-19-la-bakery-and-c.md","LA Bakery & Coffee Lounge","",""
"2021-06-20-la-patio.md","La Patio Cafe & Bar","",""
"2021-06-25-pompeii-pizza.md","Pompeii Pizza","",""
"2021-06-26-robert-harris-cafe.md","Robert Harris Cafe","",""
"2021-07-02-asia-restaurant.md","Asia Restaurant","",""
"2021-07-03-cafe-40.md","Cafe 40","",""
"2021-07-07-mcdonald-s.md","McDonald's","",""
"2021-07-09-thai-orchid.md","Thai Orchid Restaurant","",""
"2021-07-10-double-shotz.md","Double Shotz","",""
"2021-07-23-white-horse-inn.md","White Horse Inn","",""
"2021-07-24-muffin-break.md","Muffin Break","",""
"2021-07-30-indian-flavours.md","Indian Flavours","",""
"2021-08-13-dejeuner.md","Dejeuner","",""
"2021-09-10-kapadokya-mediterranean-and-turkish-cuisine.md","Kapadokya Mediterranean & Turkish Cuisine ","",""
"2021-09-11-spring-patisserie-cafe.md","Spring Patisserie & Cafe","",""
"2021-09-18-saigon-lunch-bar.md","Saigon Lunch Bar","",""
"2021-09-24-indian-summer.md","Indian Summer","",""
"2021-09-25-sony-cafe.md","Sony Cafe","",""
"2021-10-01-namaste-bharat-indian-restaurant.md","Namaste Bharat Indian Restaurant","",""
"2021-10-02-pita-pit.md","Pita Pit","",""
"2021-10-08-lone-star.md","Lone Star","",""
"2021-10-10-cafe-jacko.md","Cafe Jacko","",""
"2021-10-15-thai-house-express.md","Thai House Express","",""
"2021-10-16-the-daily-grind.md","The Daily Grind","",""
"2021-10-25-le-cafe-telephonique.md","Le Cafe Telephonique","",""
"2021-10-30-phil-and-jo-s-cafe.md","Phil and Jo's Cafe","",""
"2021-10-30-table-188.md","Table 188","",""
"2021-11-05-breakers.md","Breakers","",""
"2021-11-06-boho-cafe.md","Boho Cafe","",""
"2021-11-19-beaver-bear.md","Beaver & Bear","",""
"2021-11-21-rumour-has-it.md","Rumour Has It","",""
"2021-11-26-hanamizuki-japanese-restaurant.md","Hanamizuki Japanese Restaurant","",""
"2021-11-27-delish-cafe.md","Delish Cafe","",""
"2021-12-04-amayjen.md","Amayjen","",""
"2021-12-04-fire-home.md","Fire Home","",""
"2021-12-08-carl-s-jr.md","Carl's Jr","",""
"2021-12-12-southern-cross-garden-bar-restaurant.md","Southern Cross Garden Bar Restaurant","",""
"2021-12-20-coffee-plus.md","Coffee Plus +","",""
"2021-12-30-flat-hills-cafe.md","Flat Hills Cafe & Tourist Park","",""
"2022-01-01-cafe-cuba.md","Cafe Cuba","",""
"2022-01-01-chada-thai.md","Chada Thai","",""
"2022-01-08-cafe-brie.md","Cafe Brie","",""
"2022-01-21-libre.md","Libre","",""
"2022-01-21-provenance.md","Provenance","",""
"2022-01-22-cravings-cafe.md","Cravings Cafe","",""
"2022-01-28-chinatown-chinese-restaurant.md","Chinatown Chinese Restaurant","",""
"2022-01-29-hungry-horse-cafe.md","Hungry Horse Cafe","",""
"2022-02-12-cafe-royale.md","Cafe Royale","",""
"2022-02-13-best-ugly-bagel.md","Best Ugly Bagels","",""
"2022-02-19-reburger.md","ReBurger","",""
"2022-04-02-cafe-eminem.md","Cafe Eminem","",""
"2022-04-09-the-verdict.md","The Verdict","",""
"2022-04-21-flavour.md","Flavour","",""
"2022-04-22-pho-nem-hanoi-home-cooking.md","Pho Nem Hanoi Home Cooking","",""
"2022-04-30-nourish-cafe-deli.md","Nourish Cafe & Deli","",""
"2022-05-07-beyond-coffee.md","Beyond Coffee","",""
"2022-05-20-leuven-belgium-beer-cafe.md","Leuven Belgium Beer Cafe","",""
"2022-06-03-mekong-restaurant.md","Mekong Restaurant","",""
"2022-07-02-joseph-street-kitchen.md","Joseph Street Kitchen","",""
"2022-09-10-yatra-restaurant.md","Yatra Restaurant","",""
"2022-10-21-vivs-kitchen.md","Vivs Kitchen","",""
"2022-10-24-the-mess-tent.md","The Mess Tent","",""
"2022-12-02-wholly-bagels-pizza.md","Wholly Bagels & Pizza","",""
"2022-12-13-trax.md","Trax Cafe & Bar","",""
"2022-12-16-where-s-charlie.md","Where's Charlie","",""
"2022-12-22-brew-d.md","Gorilla Burger","",""
"2022-12-31-lunch-money.md","Lunch Money","",""
"2022-12-31-wildfire-churrascaria.md","Wildfire Churrascaria","",""
"2023-01-26-mother-of-coffee.md","Mother Of Coffee","",""
"2023-02-24-yum-yum-house.md","Yum Yum House","",""
"2023-05-12-english-dhaba.md","English Dhaba","",""
"2023-06-09-the-shepherd-s-arms-hotel.md","The Shepherd's Arms Hotel","",""
"2023-07-07-nando-s.md","Nando's","",""
"2023-07-08-whistling-sisters-beer-co.md","Whistling Sisters Beer Co","",""
"2023-07-21-kebabs-on-queen.md","Kebabs On Queen","",""
"2023-07-28-tequila-joe-s.md","Tequila Joe's","",""
"2023-07-29-damascus-genuine-syrian-flavours.md","Damascus Genuine Syrian Flavours","",""
"2023-08-11-hillside-kitchen.md","Hillside Kitchen","",""
"2023-08-11-romans-kitchen.md","Romans Kitchen","",""
"2023-08-25-the-residence.md","The Residence","",""
"2023-08-26-orient.md","Orient","",""
"2023-10-18-jack-hackett-s-irish-pub.md","Jack Hackett's Irish Pub","",""
"2023-10-20-rustic-eating-house.md","Rustic Eating House","",""
"2023-10-22-taihape-bakery-cafe.md","Taihape Bakery & Cafe","",""
"2023-10-27-top-kitchen-bbq-hot-pot.md","Top Kitchen BBQ & Hot Pot","",""
"2023-11-03-top-taste-restaurant.md","Top Taste Restaurant","",""
"2023-11-24-arcimboldi.md","Arcimboldi","",""
"2023-12-15-amador.md","Amador","",""
"2024-01-04-spice-paradise.md","Spice Paradise","",""
"2024-01-19-concord-bistro-bar.md","Concord Bistro & Bar","",""
"2024-01-29-boulcott-street-bistro.md","Boulcott Street Bistro","",""
"2024-03-15-hey-ramen.md","Hey Ramen","",""
"2024-04-05-thistle-inn.md","Thistle Inn","",""
"2024-04-19-el-barrio.md","El Barrio","",""
"2024-04-26-jeff-cafe-limited.md","Jeff Cafe Limited","",""
"2024-04-29-shanghai-restaurant.md","Shanghai Restaurant","",""
"2024-05-10-whitby-s-restaurant-and-bar.md","Whitby's Restaurant & Bar","",""
"2024-06-07-daisy-s.md","Daisy's","",""
"2024-06-14-pizza-castle.md","The Pizza Castle - Dannevirke","",""
"2024-06-30-chipmunks-playland-and-cafe.md","Chipmunks Playland & Cafe","",""
"2024-07-02-dirty-little-secret.md","Dirty Little Secret","",""
"2024-08-24-the-green-man-pub.md","The Green Man Pub","",""
"2024-09-07-mekong-cafe.md","Mekong Cafe","",""
"2024-09-13-taco-bell.md","Taco Bell","",""
"2024-10-04-scopa-pizzeria.md","Scopa Pizzeria","",""
"2024-10-27-fast-lane-restaurant.md","Fast Lane Restaurant","",""
"2024-11-24-the-tasting-room.md","The Tasting Room","",""
"2024-11-29-__wei.md","Wei","",""
"2024-12-28-firebird.md","Firebird","",""
"2024-12-28-windermere-berry-farm.md","Windermere Berry Farm","",""
"2025-01-04-indian-indulgence.md","Indian Indulgence","",""
"2025-01-04-king-cafe.md","King Cafe","",""
"2025-01-31-thai-country-cafe.md","Thai Country Cafe","",""
"2025-03-01-chicking.md","Chicking","",""
